PERIODO,CENTRAL,AGENTE,AGENTE DESCRIPCION,REGION,CATEGORIA REGION,TIPO_MAQUINA,FUENTE GENERACION,TECNOLOGIA,POTENCIA INSTALADA [MW]
2016-05-01,PBANHI,HCERROCG,HIDR. CERROS COLORADOS S.A.   ,COMAHUE,Comahue,HI,Hidráulica,Hidráulica,472.0
2016-05-01,PEHU,CTPEHUSG,CT PEHUAJO - SOENERGY,BUENOS AIRES,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,22.4
2016-05-01,PICA,CTPINDSG,CT PARQUE INDUSTR.CATAM-SECCO,NOROESTE,Noa,DI,Térmica,Motor Diesel,15.0
2016-05-01,PILA,CTPILARG,CT PILAR - EPEC,CENTRO,Centro,TG,Térmica,Ciclos Combinados,330.0
2016-05-01,PILA,CTPILARG,CT PILAR - EPEC,CENTRO,Centro,TV,Térmica,Ciclos Combinados,136.0
2016-05-01,PILA,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,TV,Térmica,Turbovapor,200.0
2016-05-01,PINA,CTPINAMG,CT PINAMAR - EMGASUD,BUENOS AIRES,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,20.5
2016-05-01,PIQI,CTPIQUIG,CENTRAL TERMICA PIQUIRENDA,NOROESTE,Noa,DI,Térmica,Motor Diesel,30.4
2016-05-01,PIRA,CTPIRASG,CT PIRANE - SULLAIR,NORESTE,Nea,DI,Térmica,Motor Diesel,16.25
2016-05-01,PMAD,CTPATAGG,C.T. PATAGONICAS SA           ,PATAGONICA,Patagonia,TG,Térmica,Turbina a gas,42.0
2016-05-01,PMORHI,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,HR,Renovable,Hidráulica Renovable,6.3
2016-05-01,PNUE,CPUERTOG,CENTRAL PUERTO SA             ,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TV,Térmica,Turbovapor,589.0
2016-05-01,POSA,EMISSANG,EMSA GENERACION,NORESTE,Nea,TG,Térmica,Turbina a gas,21.0
