AÑO,MES,BALANCE,TIPO,ENERGIA
2015,2015-04-01,DEMANDA,Exportacion,0.0
2015,2015-04-01,DEMANDA,Perdidas,198186.026
2015,2015-05-01,DEMANDA,Gran Usuario,2146014.672
2015,2015-05-01,DEMANDA,Distribuidor,8321619.021
2015,2015-05-01,DEMANDA,Bombeo,93424.618
2015,2015-05-01,DEMANDA,Exportacion,24.732
2015,2015-05-01,DEMANDA,Perdidas,278326.376
2015,2015-06-01,DEMANDA,Gran Usuario,2090363.48
2015,2015-06-01,DEMANDA,Distribuidor,9164056.187
2015,2015-06-01,DEMANDA,Bombeo,39995.974
2015,2015-06-01,DEMANDA,Exportacion,0.0
2015,2015-06-01,DEMANDA,Perdidas,387673.805
2015,2015-07-01,DEMANDA,Gran Usuario,2094597.782
2015,2015-07-01,DEMANDA,Distribuidor,9812764.137
2015,2015-07-01,DEMANDA,Bombeo,53830.625
2015,2015-07-01,DEMANDA,Exportacion,41.58
2015,2015-07-01,DEMANDA,Perdidas,413396.545
2015,2015-08-01,DEMANDA,Gran Usuario,2111038.794
2015,2015-08-01,DEMANDA,Distribuidor,9019224.014
2015,2015-08-01,DEMANDA,Bombeo,56013.408
2015,2015-08-01,DEMANDA,Exportacion,0.0
2015,2015-08-01,DEMANDA,Perdidas,415995.092
2015,2015-09-01,DEMANDA,Gran Usuario,2134031.2
2015,2015-09-01,DEMANDA,Distribuidor,8416021.173
2015,2015-09-01,DEMANDA,Bombeo,32811.079
2015,2015-09-01,DEMANDA,Exportacion,40735.103
2015,2015-09-01,DEMANDA,Perdidas,412304.269
2015,2015-10-01,DEMANDA,Gran Usuario,2276568.799
2015,2015-10-01,DEMANDA,Distribuidor,8443259.741
2015,2015-10-01,DEMANDA,Bombeo,35118.532
2015,2015-10-01,DEMANDA,Exportacion,0.0
2015,2015-10-01,DEMANDA,Perdidas,401785.823
2015,2015-11-01,DEMANDA,Gran Usuario,2223027.371
2015,2015-11-01,DEMANDA,Distribuidor,7994195.984
2015,2015-11-01,DEMANDA,Bombeo,32675.09
2015,2015-11-01,DEMANDA,Exportacion,8091.359
2015,2015-11-01,DEMANDA,Perdidas,330369.042
2015,2015-12-01,DEMANDA,Gran Usuario,2153084.765
2015,2015-12-01,DEMANDA,Distribuidor,9754295.541
2015,2015-12-01,DEMANDA,Bombeo,69724.328
2015,2015-12-01,DEMANDA,Exportacion,0.0
2015,2015-12-01,DEMANDA,Perdidas,342547.763
2016,2016-01-01,DEMANDA,Gran Usuario,2076754.351
2016,2016-01-01,DEMANDA,Distribuidor,10257579.459
2016,2016-01-01,DEMANDA,Bombeo,74692.407
2016,2016-01-01,DEMANDA,Exportacion,0.0
2016,2016-01-01,DEMANDA,Perdidas,381281.297
2012,2012-01-01,OFERTA,Hidráulica,36624324.852
2012,2012-01-01,OFERTA,Nuclear,5904082.555
2012,2012-01-01,OFERTA,Renovable,521849.436
2012,2012-01-01,OFERTA,Térmica,82511136.257
2015,2015-12-01,OFERTA,Térmica,7450076.757
